Entity,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Chile,CHL,93.0,99.0,99.0,89.0,99.0,99.0,90.0,93.0,96.0,95.0,95.0,94.0,90.0,90.0,94.0,94.0,91.0,90.0,90.0,95.0,91.0,97.0,97.0,96.0,93.0,91.0,94.0,96.0,95.0,94.0,92.0,94.0,90.0,91.0,95.0,96.0,95.0,93.0,95.0,96.0,93.0,95.0
China,CHN,,,,58.0,73.0,78.0,78.0,75.0,95.0,95.0,97.0,94.0,91.0,88.0,85.0,80.0,83.0,84.0,84.0,85.0,85.0,86.0,86.0,86.0,87.0,87.0,93.0,93.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Colombia,COL,16.0,20.0,26.0,42.0,61.0,61.0,48.0,58.0,74.0,78.0,88.0,84.0,78.0,88.0,85.0,85.0,85.0,84.0,73.0,74.0,79.0,80.0,81.0,92.0,89.0,93.0,93.0,94.0,92.0,92.0,88.0,85.0,91.0,91.0,90.0,91.0,91.0,92.0,92.0,94.0,88.0,86.0
Comoros,COM,,,,,31.0,51.0,71.0,71.0,43.0,82.0,94.0,52.0,38.0,70.0,58.0,75.0,60.0,48.0,75.0,73.0,70.0,70.0,89.0,80.0,76.0,68.0,69.0,75.0,81.0,83.0,74.0,83.0,86.0,87.0,87.0,91.0,91.0,91.0,91.0,91.0,87.0,85.0
Congo,COG,42.0,42.0,47.0,50.0,53.0,54.0,71.0,72.0,72.0,79.0,79.0,74.0,67.0,60.0,55.0,50.0,37.0,23.0,26.0,29.0,33.0,31.0,41.0,50.0,67.0,62.0,73.0,72.0,79.0,78.0,74.0,82.0,85.0,85.0,90.0,80.0,71.0,69.0,75.0,79.0,73.0,77.0
Cook Islands,COK,40.0,46.0,51.0,57.0,48.0,78.0,87.0,83.0,94.0,89.0,93.0,87.0,87.0,99.0,86.0,93.0,75.0,93.0,93.0,92.0,92.0,90.0,97.0,96.0,99.0,99.0,99.0,99.0,99.0,82.0,99.0,93.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0
Costa Rica,CRI,86.0,85.0,81.0,86.0,93.0,90.0,89.0,94.0,87.0,86.0,95.0,90.0,90.0,88.0,88.0,85.0,85.0,94.0,85.0,86.0,88.0,91.0,94.0,88.0,90.0,91.0,89.0,89.0,90.0,86.0,88.0,85.0,91.0,95.0,91.0,92.0,97.0,96.0,94.0,95.0,97.0,99.0
Cote d'Ivoire,CIV,,,,,19.0,25.0,30.0,31.0,31.0,42.0,54.0,39.0,49.0,50.0,50.0,52.0,55.0,58.0,58.0,58.0,65.0,66.0,64.0,61.0,67.0,76.0,77.0,76.0,74.0,81.0,78.0,61.0,82.0,75.0,73.0,79.0,87.0,83.0,84.0,81.0,75.0,76.0
Croatia,HRV,,,,,,,,,,,,,83.0,85.0,87.0,90.0,91.0,92.0,93.0,93.0,93.0,94.0,95.0,94.0,96.0,96.0,96.0,96.0,96.0,96.0,97.0,96.0,96.0,96.0,95.0,94.0,93.0,92.0,93.0,94.0,94.0,92.0
Cuba,CUB,67.0,68.0,99.0,99.0,86.0,91.0,99.0,87.0,98.0,96.0,92.0,99.0,94.0,99.0,99.0,99.0,90.0,99.0,99.0,95.0,95.0,98.0,99.0,72.0,88.0,89.0,89.0,93.0,95.0,96.0,96.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Cyprus,CYP,34.0,56.0,26.0,34.0,30.0,61.0,91.0,93.0,90.0,93.0,93.0,94.0,94.0,95.0,95.0,96.0,98.0,98.0,98.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,97.0,97.0,99.0,96.0,96.0,96.0
Czechia,CZE,,,,,,,,,,,,,,99.0,98.0,96.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,98.0,97.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,97.0,96.0,96.0,97.0,97.0,97.0,94.0
Democratic Republic of Congo,COD,,18.0,17.0,16.0,27.0,37.0,32.0,38.0,41.0,38.0,35.0,16.0,23.0,29.0,26.0,23.0,18.0,18.0,18.0,25.0,40.0,30.0,38.0,41.0,54.0,60.0,62.0,65.0,68.0,71.0,60.0,70.0,71.0,71.0,73.0,70.0,70.0,71.0,71.0,73.0,70.0,65.0
Denmark,DNK,88.0,88.0,87.0,86.0,86.0,90.0,89.0,88.0,87.0,89.0,90.0,90.0,91.0,88.0,89.0,90.0,77.0,92.0,99.0,99.0,97.0,97.0,98.0,96.0,95.0,93.0,93.0,87.0,88.0,89.0,90.0,91.0,94.0,94.0,94.0,93.0,94.0,98.0,97.0,97.0,97.0,97.0
